nom,adresse,arrondissement,arrondissement2,telephone,prix,cuisine1,cuisine2,cuisine3,cuisine4,cuisine5,cuisine6,cuisine7
Prima Luna,"7301, boul. Henri Bourassa E",RDP-Pointe-aux-Trembles,,(514) 494-6666,2.5,Italienne,Sushi,,,,,
Chez Nathalie,"8095, boul. Taschereau",Brossard,,(450) 678-8787,2.5,Française,Marché,Pâtes,Grillades,Fruits de mer/Poissons,Tartare,
Cuisine De Manille,"5781, ave. Victoria",Côte-des-Neiges,,(514) 344-3670,1,Philippine,Asiatique,,,,,
Mango Bay,"1236, rue Mackay",Centre-ville,,(514) 875-7082,2,Caraïbéenne,Exotique,Jamaïcaine,,,,
La Rose des Sables - Couscous & Tajine,"1815, rue Beaubien E",Rosemont-Petite-Patrie,Villeray-Saint-Michel,(514) 593-6655,2,Tunisienne,Méditerranéenne,Marocaine,Moyen Orientale,Grillades,Couscous,
Piri Piri Masson,"3038, rue Masson",Vieux-Rosemont,Rosemont-Petite-Patrie,(514) 419-5620,1,Portugaise,Grillades,Rôtisserie,Poutine,,,
La Vieille Banque,"205, boul. Ste-Rose",Sainte-Rose,Vieux Sainte-Rose,(450) 625-4083,2.5,Italienne,Fruits de mer/Poissons,Gibier Sauvage,Méditerranéenne,Pâtes,,
Joverse,"52, rue St-Jacques",Vieux-Montréal,,(514) 508-4075,2.5,Latino Américaine,Américaine,Burgers,Réconfort,,,
PJ's Pub,"6910, rue St-Jacques",Le Sud Ouest,Notre-Dame-de-Grâce (NDG),(514) 489-6356,1,Sandwichs,Pub Food,Burgers,Déjeuner,Grillades,Smoked Meat,Poutine
Heavenly Taste Biscotti,"11737, 4e ave.",RDP-Pointe-aux-Trembles,,(514) 979-9682,1,Desserts et Sucreries,,,,,,
No.1 Sushi,"3977, boul. St-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 282-1268,1.5,Sushi,Japonaise,Asiatique,Chinoise,Fruits de mer/Poissons,,
Septembre Bistro Bar,"919, rue Laurier",Beloeil,,(450) 467-3622,1.5,Grillades,Burgers,Sandwichs,Bistro,,,
Shekz,"7272, boul. Maurice-Duplessis",RDP-Pointe-aux-Trembles,Montréal-Est,(514) 494-5555,2,Asiatique,Fusion,Italienne,Sushi,Szechuannaise,Thaïlandaise,
O'Fine Bistro,"279, rue St-Georges",Saint-Jérôme,,(450) 504-5678,2,Bistro,Tapas,Poutine,Fruits de mer/Poissons,Burgers,Grillades,Tartare
La Villetta Trattoria,"1898, boul. Thimens",Ville Saint-Laurent,,(514) 337-1999,1,Italienne,,,,,,
Le Quartier Général,"1251, rue Gilford",Le Plateau-Mont-Royal,,(514) 658-1839,2.5,Française,Bistro,Du Terroir,Tartare,,,
Dur à Cuire,"219, rue St-Jean",Vieux Longueuil,Longueuil,(450) 332-9295,1.5,Française,Bistro,Marché,Tartare,,,
Sushi Enshoku,"305, boul. Curé-Labelle, local 104",Sainte-Thérèse,,(450) 419-1211,1,Sushi,Japonaise,Asiatique,,,,
Le Bourlingueur,"363, rue St-François-Xavier",Vieux-Montréal,,(514) 845-3646,1.5,Française,Fruits de mer/Poissons,Tartare,Bistro,,,
Café Les Entretiens,"1577, ave. Laurier E",Le Plateau-Mont-Royal,,(514) 521-2934,1,Bistro,Internationale,Déjeuner,Café,Salades,,
Santos Tapas Bar,"191, rue St-Paul O",Vieux-Montréal,,(514) 849-8881,2.5,Tapas,Espagnole,,,,,
Casa Cacciatore,"170, rue Jean-Talon E",Petite-Italie,Rosemont-Petite-Patrie,(514) 274-1240,2,Italienne,Méditerranéenne,,,,,
Il Puntino,"7751, boul. Roi-René",Anjou-St-Léonard,Montréal-Est,(514) 355-6213,2,Italienne,Fruits de mer/Poissons,,,,,
Helena,"438, rue McGill",Vieux-Montréal,,(514) 878-1555,2.5,Portugaise,,,,,,
La Focaccia,"2210, boul. du Curé-Labelle",Saint-Jérôme,,(450) 432-5325,2,Pâtes,Pizza,Grillades,Fruits de mer/Poissons,,,
Grenade,"1603, rue Ontario E",Le Village/Centre Sud,Le Plateau-Mont-Royal,(514) 525-4251,1.5,Pub Food,Réconfort,Poutine,Asiatique,Tartare,,
L'Entrecôte Saint-Jean,"2022, rue Peel",Centre-ville,,(514) 281-6492,2,Steakhouse,Française,Bistro,Tartare,,,
Au Bistro Gourmet,"2100, rue St-Mathieu",Centre-ville,,(514) 846-1553,2,Française,Bistro,,,,,
Escudo,"49, chemin de la Grande-Côte",Boisbriand,,(450) 419-0000,1,Portugaise,Grillades,,,,,
Les aliments Pyza - Pyza Foods,"1256, ave. Dollard",Verdun/Lasalle,,(514) 223-4240,1,Polonaise,Ukrénienne,Russe,,,,
Labarake Caserne à Manger,"3165, rue Rachel E",Rosemont-Petite-Patrie,Le Plateau-Mont-Royal,(514) 521-0777,1.5,Contemporaine/Moderne,Du Terroir,Française,Déjeuner,Tartare,Burgers,
Chez BOSS & fils,"3610, rue Wellington",Verdun/Lasalle,,(514) 508-3457,2,Fruits de mer/Poissons,Marché,Bistro,Asiatique,,,
Bijou Resto Bar,"800, Place Leigh-Capreol",Dorval,,(514) 828-5117,2.5,Grillades,Fruits de mer/Poissons,Burgers,Du Terroir,Marché,Déjeuner,
La Merveille Du Vietnam,"1283, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 844-9884,1,Vietnamienne,Thaïlandaise,Asiatique,,,,
Chez Sophie,"1974, rue Notre-Dame O",Griffintown,Le Sud Ouest,(438) 380-2365,3.5,Contemporaine/Moderne,Méditerranéenne,Française,Italienne,Végétarienne,Végétalienne,Tartare
Inferno,"6850, rue St-Dominique",Petite-Italie,Rosemont-Petite-Patrie,(514) 274-0666,2.5,Marché,Créative,Italienne,Contemporaine/Moderne,,,
Steakhouse St-Charles,"350A, rue Sicard",Sainte-Thérèse,,(450) 437-4446,2.5,Steakhouse,Fruits de mer/Poissons,Tartare,Internationale,,,
Ferrari,"1407, rue Bishop",Centre-ville,,(514) 843-3086,1.5,Italienne,Bistro,,,,,
La Réserve,"6000, boul. Arthur-Sauvé",Fabreville,,(450) 627-0340,3,Bistro,Pub Food,Réconfort,Burgers,Tartare,Grillades,Salades
La Verità,"11680, boul. de Salaberry",Dollard-des-Ormeaux,,(514) 684-4999,3,Italienne,,,,,,
Rodos,"5583, ave. Du Parc",Le Plateau-Mont-Royal,Mile-End,(514) 270-1304,1.5,Grecque,Fruits de mer/Poissons,Méditerranéenne,,,,
Déli 500 Restaurant & Bar,"500, rue Sherbrooke O",Centre-ville,Quartier des Spectacles,(514) 285-2090,1.5,Deli,Smoked Meat,Déjeuner,Internationale,Grillades,Sandwichs,Pâtes
Decca77 Restaurant & Brasserie,"1077, rue Drummond",Centre-ville,,(514) 934-1077,3,Française,Marché,Internationale,Créative,Contemporaine/Moderne,Tartare,
Nyks Bistro Pub,"1250, rue de Bleury",Centre-ville,Quartier des Spectacles,(514) 866-1787,1,Bistro,Pub Food,Marché,,,,
Asiana,"121, rue St-Charles O",Vieux Longueuil,Longueuil,(450) 679-2028,1.5,Thaïlandaise,Szechuannaise,Asiatique,,,,
Oeufs & Cie,"8840, boul. Leduc",Brossard,Quartier Dix30,(450) 656-8111,1,Déjeuner,Crêperie,Salades,Sandwichs,,,
Lombardi,"411, ave. Duluth E",Avenue Duluth,Le Plateau-Mont-Royal,(514) 844-9419,2,Italienne,,,,,,
Satori Sushi Bar,"290, boul. St-Luc",St-Jean-Sur-Richelieu,,(450) 348-0667,2,Japonaise,Sushi,Fusion,Grillades,,,
La Perle Vietnamienne,"2020, boul. des Laurentides, Local 1",Vimont,,(450) 668-9700,1,Vietnamienne,Asiatique,Sushi,,,,
Éclipse Thaï Grill,"356, chemin de la Grande-Côte",Boisbriand,,(450) 818-6009,1.5,Déjeuner,Thaïlandaise,Grillades,,,,
Kamani Fusion Asiatique & Sushi,"338 C, boul. Curé-Labelle",Sainte-Rose,,(450) 622-2882,1,Asiatique,Sushi,Fusion,Thaïlandaise,,,
Sucrerie Bonaventure,"15400, rue Charles",Mirabel,,(450) 434-7476,2,Cabane à sucre,Du Terroir,,,,,
Barracuda,"569G, rue Arthur-Sauvé",Saint-Eustache,,(450) 983-5535,2,Sushi,Tapas,Grillades,Tartare,,,
Tapas 24,"420, rue Notre-Dame Ouest, Local 4",Vieux-Montréal,,(514) 849-4424,2.5,Tapas,Espagnole,,,,,
Tay Do,"300, ave. Duluth E",Le Plateau-Mont-Royal,Avenue Duluth,(514) 281-6788,1,Vietnamienne,Asiatique,,,,,
Le Pégase,"1831, rue Gilford",Le Plateau-Mont-Royal,,(514) 522-0487,2.5,Française,Tartare,,,,,
Pizzédélic,"1155A, Place Nobel",Boucherville,Longueuil,(450) 641-8215,1.5,Pizza,Pâtes,Grillades,,,,
Asha,"3490, ave. du parc",Le Plateau-Mont-Royal,Centre-ville,(514) 844-3178,2,Indienne,Pakistanaise,Halal,,,,
Yas,"5563, ch Upper-Lachine",Notre-Dame-de-Grâce (NDG),,(514) 483-0303,1.5,Persane,Iranienne,Méditerranéenne,Moyen Orientale,Végétarienne,,
Pho Khanh Hoa,"5110, rue Jean-Talon E.",Anjou-St-Léonard,Montréal-Est,(514) -727-9898,1,Vietnamienne,Asiatique,Grillades,,,,
Maggie Oakes,"426, Place Jacques-Cartier",Vieux-Montréal,,(514) 800-8047,2.5,Marché,Steakhouse,Grillades,Salades,Burgers,Déjeuner,Tartare
Chez César,"3477, montée St-Hubert",Saint-Hubert,Longueuil,(450) 286-1704,1,Péruvienne,Fruits de mer/Poissons,Barbecue-BBQ,Poutine,Grillades,,
Royal India,"15, rue Paiement",L'Île-Bizard-Sainte-Geneviève,Pierrefonds-Roxboro,(514) 626-6664,1,Indienne,Végétarienne,,,,,
The 99 Restaurant,Route 138 Wolfco Unit 15,Kahnawake,,(450) 638-7529,1.5,Internationale,Bistro,Burgers,Barbecue-BBQ,Grillades,Fish & Chips,Américaine
La Piccola,"2050, rue Fleury E",Ahuntsic-Cartierville,,(514) 858-7175,1.5,Italienne,Pizza,,,,,
SAJ mahal,"1448A, rue St-Mathieu",Centre-ville,,(514) 925-7070,1,Libanaise,Moyen Orientale,Méditerranéenne,Syrienne,Arménienne,Turque,Pizza
Kurobuta Izakaya,"4274, boul. St Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 286-3832,1.5,Japonaise,Asiatique,Bistro,Végétarienne,Ramen,,
Cantinho,"3204, rue Jarry E",Villeray-Saint-Michel,,(514) 729-9494,1.5,Portugaise,Grillades,,,,,
Restaurant Coco Mania,"1083, boul. Curé-Labelle",Blainville,Sainte-Thérèse,(450) 818-2223,1,Déjeuner,Crêperie,Pizza,Sandwichs,Grecque,Méditerranéenne,Burgers
Monsieur B (B pour Bistro),"371, rue Villeneuve E.",Le Plateau-Mont-Royal,,(514) 845-6066,2,Française,Bistro,Tartare,,,,
Bistro St-Charles,"17680, rue Charles #100",Mirabel,,(450) 818-8668,2.5,Bistro,Marché,Pub Food,Tartare,Grilled Cheese,Sandwichs,Burgers
Grenadine,"2004, ave. Hôtel-de-Ville",Quartier des Spectacles,Le Plateau-Mont-Royal,(514) 287-0099,2.5,Française,Fusion,Tartare,,,,
Persia,6710 rue Saint-Jacques local 105,Notre-Dame-de-Grâce (NDG),,(514) 489-8484,1.5,Iranienne,Persane,Méditerranéenne,Grillades,Moyen Orientale,Halal,Café
Tandem,"586, rue Villeray",Villeray-Saint-Michel,Rosemont-Petite-Patrie,(514) 277-3339,3,Française,Marché,Végétalienne,Végétarienne,Tartare,,
Le Smoking Vallée,"4370, rue  Notre Dame O.",Saint-Henri,Le Sud Ouest,(514) 932-0303,2.5,Française,Marché,Tartare,,,,
Bière Au Menu,"71, Montée Gagnon",Bois-des-Filion,,(450) 621-0611,1,Pub Food,Poutine,Burgers,Smoked Meat,Fish & Chips,Belge,Pâtes
El Meson,"1678, boul. St-Joseph",Lachine,,(514) 634-0442,1.5,Mexicaine,Latino Américaine,,,,,
Tacos Victor,"4376, rue Notre-Dame O",Saint-Henri,Le Sud Ouest,(514) 932-6837,1,Mexicaine,Latino Américaine,Sandwichs,,,,
Kingyo,"75, boul. Des Chateaux",Blainville,Rosemère,(450) 420-0731,3,Sushi,Fusion,Japonaise,Asiatique,,,
Authentic Grill Express,"3000, boul. des Laurentides",Vimont,Auteuil,(450) 967-2222,1,Portugaise,Grillades,Pâtes,Italienne,,,
O.Noir (Onoir),"124, rue Prince Arthur E",Centre-ville,Westmount,(514) 937-9727,3,Internationale,Française,Contemporaine/Moderne,Fusion,Tartare,,
Hachoir,"4177, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 903-1331,2.5,Du Terroir,Burgers,Grillades,Réconfort,,,
Lugano's,"1723, boul. St-Martin O",Chomedey,Laval-des-Rapides,(450) 497-0315,1.5,Italienne,Grillades,Moules,,,,
Tandoori Palace,"3424, boul Cartier O",Chomedey,Laval-des-Rapides,(450) 688-6866,1.5,Indienne,Halal,,,,,
Le Coup Monté,"467, rue Notre-Dame E suite 107",Repentigny,,(450) 704-2704,3,Française,Marché,Bistro,Tartare,,,
Le Samuel,"291, rue Richelieu",St-Jean-Sur-Richelieu,,(450) 347-4353,2.5,Française,Méditerranéenne,Du Terroir,Marché,Bistro,Tartare,
Burrito Revolucion,"3905, rue Ontario E",Hochelaga-Maisonneuve,Montréal-Est,(438) 386-6696,1,Mexicaine,Latino Américaine,,,,,
Resto Jacques-Cartier,"444, Place Jacques-Cartier",Vieux-Montréal,,(514) 397-9777,1.5,Italienne,Pizza,Pâtes,Grillades,Poutine,,
Zento,"475, boul. Grand",Île Perrot/Pincourt,,(514) 425-0302,2.5,Sushi,Asiatique,Japonaise,Chinoise,,,
Sterlings,"165, Promenade du Centropolis",Chomedey,Centropolis,(450) 682-4800,2.5,Steakhouse,Grillades,Fruits de mer/Poissons,,,,
Taverne Gaspar,"89, rue de La Commune E",Vieux-Montréal,,(514) 819-2241,2,Réconfort,Pub Food,Fish & Chips,Barbecue-BBQ,,,
Rasoï,"3459, rue Notre-Dame O",Le Sud Ouest,Saint-Henri,(514) 544-9866,1,Indienne,Tapas,Fusion,Créative,Réconfort,Contemporaine/Moderne,Halal
Rebel Brasserie Urbaine,"1470, rue Sainte-Catherine E.",Le Village/Centre Sud,,(514) 529-9624,1.5,Bistro,Française,Du Terroir,Tartare,,,
Bravi Restaurant,"2794, boul. Jacques-Cartier E",Longueuil,Boucherville,(450) 448-8111,2,Italienne,Pizza,Bistro,,,,
L'Épicurieux,"2270, rue de l'Église",Val-David,,(819) 320-0080,2.5,Bistro,Du Terroir,Marché,Tartare,,,
Elounda,"1818, boul. de la cote-Vertu",Ville Saint-Laurent,,(514) 331-4040,3.5,Grecque,Méditerranéenne,Fruits de mer/Poissons,Grillades,,,
Côba,"1124, ave. Laurier O",Mile-End,Le Plateau-Mont-Royal,(514) 908-1889,2,Asiatique,Sushi,Japonaise,,,,
Bistro Laurentien - La Coupole,"1325, boul. René-Lévesque O",Centre-ville,,(514) 373-2300,3,Contemporaine/Moderne,Déjeuner,Du Terroir,Marché,Tartare,Bistro,
Küto - Comptoir à Tartares,"353, rue Saint-Charles O",Longueuil,,(450) 396-7707,1,Tartare,Fruits de mer/Poissons,Salades,Moules,,,
Ong Ca Can,"79, rue Ste-Catherine E",Centre-ville,Quartier des Spectacles,(514) 844-7817,1.5,Vietnamienne,Asiatique,,,,,
Piri Piri Plateau,"415, ave. Mont-Royal E",Le Plateau-Mont-Royal,,(514) 504-6464,1,Portugaise,Rôtisserie,Grillades,Poutine,,,
El Meson 2 Inc.,"77B, boul. St-Jean-Baptiste",Châteauguay,,(450) 201-1001,1.5,Mexicaine,Latino Américaine,,,,,
Nouveau Cari Masala (Curry Masala),"9194, rue Sherbrooke E",Tétreaultville-Mercier-Est,Montréal-Est,(514) 351-2552,1.5,Indienne,,,,,,
Wellington,"3629, rue Wellington",Verdun/Lasalle,,(514) 419-1646,2.5,Marché,Française,Tartare,Moules,,,
Chinese Restaurant Dumpling,"30, rue de la Gauchetière O",Quartier Chinois,Centre-ville,(514) 868-0657,1,Chinoise,,,,,,
Madre Sur Fleury,"124, rue Fleury O",Ahuntsic-Cartierville,,(514) 439-1966,3,Française,Latino Américaine,Péruvienne,,,,
40 Westt Steakhouse,"2305, autoroute Transcanadienne",Pointe-Claire,,(514) 428-9378,3.5,Américaine,Canadienne,Méditerranéenne,Fruits de mer/Poissons,Steakhouse,Salades,Végétarienne
Silva Grillades,"177, rue St-Charles O.",Longueuil,Vieux Longueuil,(450) 748-2233,2,Steakhouse,Portugaise,Fruits de mer/Poissons,Grillades,,,
Rotisserie Chalet Bar-B-Q,"5456, rue Sherbrooke O",Côte-des-Neiges,Notre-Dame-de-Grâce (NDG),(514) 489-7235,1,Barbecue-BBQ,Rôtisserie,,,,,
Flyjin,"417, rue St-Pierre",Vieux-Montréal,,(514) 564-8881,3.5,Asiatique,Fusion,Japonaise,,,,
Maison India,"5868, rue Sherbrooke O",Monkland Village,Notre-Dame-de-Grâce (NDG),(514) 485-2122,2,Indienne,,,,,,
Bleu Moutarde,"965, rue Richelieu",Beloeil,,(450) 464-8839,2.5,Bistro,Réconfort,Marché,Tapas,Grillades,Fruits de mer/Poissons,
Rouge Bistro & Grill Oriental,"6000, boul. Rome #60",Quartier Dix30,Brossard,(450) 676-8886,2,Chinoise,Bistro,Fusion,Asiatique,Thaïlandaise,Szechuannaise,
Le Passé Composé Saint-Sauveur,"90, ave. de la Gare",Saint-Sauveur,,(450) 227-1818,1.5,Bistro,Française,Déjeuner,Marché,,,
Thaï Imagination,"501, boul. René Lévesque O",Centre-ville,,(514) 393-8882,1.5,Thaïlandaise,Chinoise,Vietnamienne,Asiatique,,,
Le Nil Bleu,"3706, rue St-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 285-4628,2,Éthiopienne,Africaine,Exotique,Végétarienne,Santé,,
BEVO Bar + Pizzeria,"410, rue Saint-Vincent",Vieux-Montréal,,(514) 819-2212,2.5,Pizza,Italienne,,,,,
Le Valois,"25, Place Simon-Valois",Hochelaga-Maisonneuve,Montréal-Est,(514) 528-0202,2,Française,Bistro,Marché,Déjeuner,Tartare,,
Au Biniou,"100, boul. de la Concorde E.",Pont Viau,,(450) 667-3170,2.5,Française,Tartare,,,,,
Art Lounge MTL,"160-#108,  rue St-Viateur E",Mile-End,Le Plateau-Mont-Royal,(514) 903-3090,1,Café,Salades,Tapas,Sandwichs,Végétarienne,,
Meridiana Ristorante,"500, boul. St-Martin O.",Chomedey,Laval-des-Rapides,(450) 975-7555,2,Portugaise,Italienne,,,,,
Bistro L'Escoffier,"4007, rue Saint-Denis",Le Plateau-Mont-Royal,Rue St-Denis,(514) 840-0707,2.5,Française,Bistro,Marché,Tartare,Fruits de mer/Poissons,,
La Menthe Poivrée,"2379, boul. Rosemont",Rosemont-Petite-Patrie,,(514) 678-5025,1.5,Française,Marché,Bistro,Tartare,,,
Notre Société - Lounge Culinaire,"2019, boul. Taschereau",Longueuil,,(450) 646-2645,2.5,Tapas,Réconfort,Tartare,Fish & Chips,Fruits de mer/Poissons,Salades,Mexicaine
Boeuf Cochon,"255, rue de Martigny O",Saint-Jérôme,,(450) 436-9008,2.5,Steakhouse,Grillades,Fruits de mer/Poissons,Burgers,Tartare,Poutine,Barbecue-BBQ
Taj Mahal Du Vieux-Montreal,"143, rue St-Paul O",Vieux-Montréal,,(514) 285-0076,2,Indienne,,,,,,
Bistro L'Enchanteur,"7331, ave. Henri-Julien",Villeray-Saint-Michel,Parc-Extension,(514) 273-4766,1.5,Bistro,Déjeuner,Burgers,Marché,Française,,
Chez Lan,"1421, chemin Gascon",Terrebonne/Lachenaie,,(450) 492-1416,1,Vietnamienne,Thaïlandaise,Asiatique,,,,
Machiavelli,"2601, rue du Centre",Pointe St-Charles,Le Sud Ouest,(514) 315-9981,2.5,Marché,Française,Bistro,Pâtes,Tartare,,
Flavour of India,"1024, rue Jean-Talon O",Parc-Extension,Ville Mont-Royal,(514) 315-8801,1,Indienne,Pakistanaise,,,,,
Rasputin,"617, boul. Décarie",Ville Saint-Laurent,,(514) 748-4921,2,Russe,Grillades,,,,,
Le Surcouf,"51, rue Ste-Anne",Sainte-Anne-de-Bellevue,,(514) 457-6699,2.5,Française,Créative,Tartare,,,,
Accords bar à vin,"212, rue Notre-Dame O",Vieux-Montréal,,(514) 282-2020,2.5,Du Terroir,Contemporaine/Moderne,Marché,,,,
Lanterne,"165, rue St-Charles O",Longueuil,Vieux Longueuil,(450) 332-3772,1,Vietnamienne,Thaïlandaise,Asiatique,Sushi,,,
Piri Piri Côte-des-Neiges,"5480, chemin de la Côte-des-Neiges",Côte-des-Neiges,,(514) 303-7474,1,Portugaise,Rôtisserie,Grillades,Poutine,,,
Mercado,"6961, boul. St-Laurent",Petite-Italie,Rosemont-Petite-Patrie,(514) 903-6924,2.5,Mexicaine,Latino Américaine,Nuevo Latino,,,,
Le Cheesecake Bar,"274, boul. Ste-Rose",Vieux Sainte-Rose,Sainte-Rose,(514) 370-2299,1,Desserts et Sucreries,Café,Sandwichs,Pizza,,,
Vinaigrette,"6900, ave. Decarie",Côte-Saint-Luc,,(514) 739-0909,1,Salades,Café,Santé,Végétarienne,Végétalienne,,
Café Donato Bar et Grill,"719, boul. Décarie",Ville Saint-Laurent,,(514) 748-8112,1,Café,Italienne,Grillades,Pizza,Pâtes,Salades,Sandwichs
Le Méchant Loup,"5215, chemin de Chambly",Saint-Hubert,Longueuil,(450) 678-7767,2.5,Bistro,Marché,Française,Tartare,,,
Grinder (Viandes & Vins),"1708, rue Notre-Dame O.",Griffintown,Le Sud Ouest,(514) 439-1130,2.5,Steakhouse,Fruits de mer/Poissons,Française,Tartare,,,
Kejaki Sushi,"884, boul. Décarie",Ville Saint-Laurent,,(514) 748-9981,1.5,Sushi,Japonaise,Thaïlandaise,Szechuannaise,,,
Izu Sushi,"921, rue Rachel E",Le Plateau-Mont-Royal,,(514) 524-4555,1,Sushi,Japonaise,,,,,
Quattro Ristorante,"17, rue Notre-Dame O.",Vieux-Montréal,,(514) 903-2909,2.5,Italienne,Méditerranéenne,Fusion,Créative,,,
Pizzédélic,"1454, boul. St-Martin O.",Chomedey,Laval-des-Rapides,(450) 669-7777,1.5,Pizza,Pâtes,Grillades,,,,
Maison Indian Curry House,"996, rue Jean-Talon O",Ville Mont-Royal,Parc-Extension,(514) 273-0004,1,Indienne,,,,,,
Le Skratch de Laval,"965, boul. Curé-Labelle",Chomedey,,(450) 686-7665,2,Burgers,Pizza,Grillades,Salades,Pâtes,Poutine,
Yoshi Sushi,"1601, ave. Laurier E",Le Plateau-Mont-Royal,,(514) 523-8878,1.5,Sushi,Japonaise,Fusion,,,,
Au 917,"917, rue Rachel E",Le Plateau-Mont-Royal,,(514) 524-0094,2,Française,Bistro,Tartare,,,,
L'Ours Caverne Culinaire,"200, rue Ste-Marie",La Prairie,,(450) 695-3113,2,Pizza,Fumoir-Smokehouse,Burgers,Pâtes,Bistro,,
À L'Imparfait,"3015, boul. de la Concorde E",Duvernay,,(450) 661-1444,2,Française,,,,,,
Trattoria Lanni,"590, rue St-Charles",Vaudreuil-Dorion,,(450) 455-9300,2.5,Italienne,Pizza,,,,,
Le Cheval De Jade,"688, rue de St-Jovite",Mont-Tremblant,,(819) 425-5233,4,Française,Fruits de mer/Poissons,Végétarienne,Méditerranéenne,Marché,Bio,Tartare
Pub Sir Joseph,"4902, boul. St-Laurent",Le Plateau-Mont-Royal,Boul. St-Laurent/Main,(514) 564-7477,1.5,Irlandaise,Pub Food,Burgers,Fish & Chips,Réconfort,Marché,Grillades
Lannes et Pacifique,"200, rue Beaubien E",Rosemont-Petite-Patrie,,(514) 439-1001,1.5,Française,Bistro,Marché,Tartare,,,
La Maison Pékin,"2850, boul. de la Concorde E",Duvernay,,(450) 667-5750,1,Chinoise,Szechuannaise,Asiatique,,,,
Kwizinn,"6670, rue St-Hubert",Villeray-Saint-Michel,Rosemont-Petite-Patrie,,,Créole,Caraïbéenne,Grillades,Fruits de mer/Poissons,Exotique,Tapas,
Bon Appétit Chéri,"1200, boul. Chomedey",Chomedey,,(450) 902-0150,1,Grillades,Salades,Internationale,Burgers,Déjeuner,Sandwichs,Pâtes
Angkoria,"1155, boul. Rome",Brossard,,(450) 465-3553,1.5,Thaïlandaise,Asiatique,Sushi,Fusion,Ramen,,
Lo Dico,"920, boul. Iberville",Repentigny,,(450) 654-2869,1.5,Pizza,Italienne,Sandwichs,,,,
Terrasse du Vieux-Port Steakhouse,"39, rue St-Paul E",Vieux-Montréal,,(514) 866-3175,2.5,Fruits de mer/Poissons,Grillades,Steakhouse,,,,
Casa Alentejo,"5938, rue St-Hubert",Rosemont-Petite-Patrie,,(514) 272-9797,1.5,Portugaise,Grillades,Fruits de mer/Poissons,Sandwichs,,,
Chez Lien,"6780, rue Sherbrooke E",Hochelaga-Maisonneuve,Montréal-Est,(514) 252-9088,1,Vietnamienne,Grillades,Asiatique,Santé,,,
Casa Figueroa,"3217, rue Beaubien E",Rosemont-Petite-Patrie,,(438) 380-6275,2,Mexicaine,Latino Américaine,,,,,
Rosewood,"60, rue St-Jaques",Vieux-Montréal,,(514) 843-8585,2,Internationale,Pub Food,Burgers,Créative,,,
L'Impressionniste,"245, chemin de la Grande-Côte",Saint-Eustache,,(450) 491-3277,2.5,Française,Tartare,,,,,
Quai No. 4,"2800, rue Masson",Vieux-Rosemont,Rosemont-Petite-Patrie,(514) 507-0516,2,Bistro,Tapas,Réconfort,Marché,Du Terroir,,
Restaurant de l'ITHQ,"3535, rue St-Denis",Quartier Latin,Rue St-Denis,(514) 282-5155,2.5,Du Terroir,Marché,,,,,
Café Le Petit Flore,"1145, rue Fleury E",Ahuntsic-Cartierville,,(514) 387-2640,1.5,Bistro,Française,Café,Déjeuner,Sandwichs,Salades,Tartare
Yokoso Sushi & Fusion,"1298, boul. Curé-Labelle",Chomedey,,(450) 934-8125,2,Vietnamienne,Sushi,Fusion,,,,
La Maison Du Magret,"102, rue St-Antoine O",Vieux-Montréal,,(514) 282-0008,2.5,Française,Contemporaine/Moderne,Créative,Bio,Tartare,,
Moishes Steakhouse,"3961, boul. St-Laurent",Boul. St-Laurent/Main,Le Plateau-Mont-Royal,(514) 845-3509,4,Steakhouse,Fruits de mer/Poissons,Grillades,,,,
Mademoiselle Urban RestoBar,"5171, ave du Parc",Mile-End,Le Plateau-Mont-Royal,(514) 508-5038,2,Canadienne,Poutine,Fish & Chips,Mexicaine,Végétarienne,Pizza,Grillades
Balconville,"4816, rue Wellington",Verdun/Lasalle,,(514) 419-1942,1.5,Pub Food,Grillades,,,,,
Tenka Sushi,"1470, boul. Rome",Brossard,,(450) 648-0041,1,Sushi,Japonaise,,,,,
La Maison Fresca,"4721, boul. des Laurentides",Vimont,,(450) 667-7224,1.5,Italienne,Internationale,Pâtes,Sandwichs,Salades,Pizza,Deli
Portus 360,"777, boul. Robert-Bourassa",Centre-ville,,(514) 849-2070,3,Portugaise,Tapas,Grillades,Fruits de mer/Poissons,,,
